iter	Passed	Remaining
961	13243	523
962	13258	509
963	13270	495
964	13282	481
965	13292	467
966	13311	454
967	13327	440
968	13341	426
969	13353	413
970	13366	399
971	13376	385
972	13389	371
973	13404	357
974	13415	343
975	13426	330
976	13438	316
977	13449	302
978	13462	288
979	13472	274
980	13484	261
981	13497	247
982	13510	233
983	13520	219
984	13533	206
985	13546	192
986	13566	178
987	13588	165
988	13598	151
989	13607	137
990	13619	123
991	13630	109
992	13639	96
993	13650	82
994	13662	68
995	13672	54
996	13682	41
997	13693	27
998	13702	13
999	13713	0
